place_name,city,country,rating,review_count,categories
Sugarloaf Mountain,Rio de Janeiro,Brazil,4.8,198765,"Mountains, Viewpoints, Nature"
Ipanema Beach,Rio de Janeiro,Brazil,4.5,234567,"Beaches, Recreation, Nature"
Tijuca Forest,Rio de Janeiro,Brazil,4.6,156789,"Parks, Nature, Hiking"
Athens Acropolis,Athens,Greece,4.7,267890,"Ruins, History, Archaeology"
Parthenon,Athens,Greece,4.8,234567,"Monuments, Architecture, History"
Plaka,Athens,Greece,4.5,198765,"Neighborhoods, Shopping, Food"
National Archaeological Museum,Athens,Greece,4.6,156789,"Museums, History, Culture"
Temple of Zeus,Athens,Greece,4.5,134567,"Ruins, History, Architecture"
Big Buddha,Phuket,Thailand,4.6,187654,"Monuments, Religious, Viewpoints"
Patong Beach,Phuket,Thailand,4.4,234567,"Beaches, Recreation, Nightlife"
Phi Phi Islands,Phuket,Thailand,4.8,267890,"Islands, Nature, Diving"
Old Phuket Town,Phuket,Thailand,4.5,156789,"Neighborhoods, Culture, Architecture"
James Bond Island,Phuket,Thailand,4.7,198765,"Islands, Nature, Landmarks"
Marina Bay Sands,Singapore,Singapore,4.6,234567,"Architecture, Luxury, Viewpoints"
Gardens by the Bay,Singapore,Singapore,4.8,267890,"Parks, Gardens, Architecture"
Sentosa Island,Singapore,Singapore,4.5,198765,"Islands, Recreation, Entertainment"
Singapore Zoo,Singapore,Singapore,4.6,187654,"Zoos, Wildlife, Family"
Little India,Singapore,Singapore,4.4,156789,"Neighborhoods, Culture, Food"
Angkor Wat,Siem Reap,Cambodia,4.9,234567,"Temples, Ruins, History"
Bayon Temple,Siem Reap,Cambodia,4.7,198765,"Temples, Architecture, History"
Ta Prohm,Siem Reap,Cambodia,4.7,176543,"Temples, Ruins, Nature"
Banteay Srei,Siem Reap,Cambodia,4.6,156789,"Temples, Architecture, History"
Phnom Bakheng,Siem Reap,Cambodia,4.5,134567,"Temples, Viewpoints, History"

